datetime,co2,damper,occupant
2017/3/21 0:00,2.287483528,0,2
2017/3/21 0:01,2.287483528,0,2
2017/3/21 0:02,2.287483528,0,2
2017/3/21 0:03,2.287483528,0,2
2017/3/21 0:04,2.287483528,0,2
2017/3/21 0:05,2.326254435,0,2
2017/3/21 0:06,2.326254435,0,2
2017/3/21 0:07,2.326254435,0,2
2017/3/21 0:08,2.326254435,0,2
2017/3/21 0:09,2.326254435,0,2
2017/3/21 0:10,2.339178071,0,2
2017/3/21 0:11,2.339178071,0,2
2017/3/21 0:12,2.339178071,0,2
2017/3/21 0:13,2.339178071,0,2
2017/3/21 0:14,2.339178071,0,2
2017/3/21 0:15,2.300407163,0,2
2017/3/21 0:16,2.300407163,0,2
2017/3/21 0:17,2.300407163,0,2
2017/3/21 0:18,2.300407163,0,2
2017/3/21 0:19,2.300407163,0,2
2017/3/21 0:20,2.274559892,0,2
2017/3/21 0:21,2.274559892,0,2
2017/3/21 0:22,2.274559892,0,2
2017/3/21 0:23,2.274559892,0,2
2017/3/21 0:24,2.274559892,0,2
2017/3/21 0:25,2.293945345,0,2
2017/3/21 0:26,2.293945345,0,2
2017/3/21 0:27,2.293945345,0,2
2017/3/21 0:28,2.293945345,0,2
2017/3/21 0:29,2.293945345,0,2
2017/3/21 0:30,2.345639888,0,2
2017/3/21 0:31,2.345639888,0,2
2017/3/21 0:32,2.345639888,0,2
2017/3/21 0:33,2.345639888,0,2
2017/3/21 0:34,2.345639888,0,2
2017/3/21 0:35,2.300407163,0,2
2017/3/21 0:36,2.300407163,0,2
2017/3/21 0:37,2.300407163,0,2
2017/3/21 0:38,2.300407163,0,2
2017/3/21 0:39,2.300407163,0,2
2017/3/21 0:40,2.332716253,0,2
2017/3/21 0:41,2.332716253,0,2
2017/3/21 0:42,2.332716253,0,2
2017/3/21 0:43,2.332716253,0,2
2017/3/21 0:44,2.332716253,0,2
2017/3/21 0:45,2.326254435,0,2
2017/3/21 0:46,2.326254435,0,2
2017/3/21 0:47,2.326254435,0,2
2017/3/21 0:48,2.326254435,0,2
2017/3/21 0:49,2.326254435,0,2
2017/3/21 0:50,2.28102171,0,2
2017/3/21 0:51,2.28102171,0,2
2017/3/21 0:52,2.28102171,0,2
2017/3/21 0:53,2.28102171,0,2
2017/3/21 0:54,2.28102171,0,2
2017/3/21 0:55,2.326254435,0,2
2017/3/21 0:56,2.326254435,0,2
2017/3/21 0:57,2.326254435,0,2
2017/3/21 0:58,2.326254435,0,2
2017/3/21 0:59,2.326254435,0,2
2017/3/21 1:00,2.326254435,0,2
2017/3/21 1:01,2.326254435,0,2
2017/3/21 1:02,2.326254435,0,2
2017/3/21 1:03,2.326254435,0,2
2017/3/21 1:04,2.326254435,0,2
2017/3/21 1:05,2.313330799,0,2
2017/3/21 1:06,2.313330799,0,2
2017/3/21 1:07,2.313330799,0,2
2017/3/21 1:08,2.313330799,0,2
2017/3/21 1:09,2.313330799,0,2
2017/3/21 1:10,2.274559892,0,2
2017/3/21 1:11,2.274559892,0,2
2017/3/21 1:12,2.274559892,0,2
2017/3/21 1:13,2.274559892,0,2
2017/3/21 1:14,2.274559892,0,2
2017/3/21 1:15,2.261636256,0,2
2017/3/21 1:16,2.261636256,0,2
2017/3/21 1:17,2.261636256,0,2
2017/3/21 1:18,2.261636256,0,2
2017/3/21 1:19,2.261636256,0,2
2017/3/21 1:20,2.261636256,0,2
2017/3/21 1:21,2.261636256,0,2
2017/3/21 1:22,2.261636256,0,2
2017/3/21 1:23,2.261636256,0,2
2017/3/21 1:24,2.261636256,0,2
2017/3/21 1:25,2.293945345,0,2
2017/3/21 1:26,2.293945345,0,2
2017/3/21 1:27,2.293945345,0,2
2017/3/21 1:28,2.293945345,0,2
2017/3/21 1:29,2.293945345,0,2
2017/3/21 1:30,2.274559892,0,2
2017/3/21 1:31,2.274559892,0,2
2017/3/21 1:32,2.274559892,0,2
2017/3/21 1:33,2.274559892,0,2
2017/3/21 1:34,2.274559892,0,2
2017/3/21 1:35,2.235788985,0,2
2017/3/21 1:36,2.235788985,0,2
2017/3/21 1:37,2.235788985,0,2
2017/3/21 1:38,2.235788985,0,2
2017/3/21 1:39,2.235788985,0,2
2017/3/21 1:40,2.235788985,0,2
2017/3/21 1:41,2.235788985,0,2
2017/3/21 1:42,2.235788985,0,2
2017/3/21 1:43,2.235788985,0,2
2017/3/21 1:44,2.235788985,0,2
2017/3/21 1:45,2.235788985,0,2
2017/3/21 1:46,2.235788985,0,2
2017/3/21 1:47,2.235788985,0,2
2017/3/21 1:48,2.235788985,0,2
2017/3/21 1:49,2.235788985,0,2
2017/3/21 1:50,2.28102171,0,2
2017/3/21 1:51,2.28102171,0,2
2017/3/21 1:52,2.28102171,0,2
2017/3/21 1:53,2.28102171,0,2
2017/3/21 1:54,2.28102171,0,2
2017/3/21 1:55,2.293945345,0,2
2017/3/21 1:56,2.293945345,0,2
2017/3/21 1:57,2.293945345,0,2
2017/3/21 1:58,2.293945345,0,2
2017/3/21 1:59,2.293945345,0,2
2017/3/21 2:00,2.293945345,0,2
2017/3/21 2:01,2.293945345,0,2
2017/3/21 2:02,2.293945345,0,2
2017/3/21 2:03,2.293945345,0,2
2017/3/21 2:04,2.293945345,0,2
2017/3/21 2:05,2.261636256,0,2
2017/3/21 2:06,2.261636256,0,2
