Date & Time,use [kW],gen [kW],Electronics closet [kW],Office outlets 2 [kW],Dishwasher &amp; disposal [kW],Hot tub [kW],HP #3 [kW],HP #2 [kW],HP #1 [kW],Wall oven [kW],ERV + humidifier + fountain [kW],Freezer + gallery lights [kW],Phoenix boiler [kW]
2015-12-28 14:21:00,9.338183333,0.0,0.075266667,0.0054,0.000266667,0.0454,0.011583333,4.46795,4.7119,0.0023,0.006416667,0.008066667,0.008233333
2015-12-28 14:22:00,9.623216667,0.0,0.07525,0.0054,0.000266667,0.045366667,0.012133333,4.551216667,4.913333333,0.0024,0.006383333,0.008033333,0.008233333
2015-12-28 14:23:00,9.685583333,0.0,0.075166667,0.005333333,0.000266667,0.0454,0.0121,4.572166667,4.9549,0.0024,0.0064,0.008033333,0.008216667
2015-12-28 14:24:00,9.70775,0.0,0.075266667,0.005366667,0.000266667,0.0455,0.010816667,4.577416667,4.972883333,0.0024,0.006383333,0.008033333,0.008216667
2015-12-28 14:25:00,9.72375,0.0,0.075216667,0.005383333,0.00025,0.045516667,0.010333333,4.582016667,4.984783333,0.0024,0.006383333,0.00805,0.008216667
2015-12-28 14:26:00,9.77115,0.0,0.075283333,0.00535,0.000266667,0.045516667,0.010333333,4.596566667,5.004633333,0.002416667,0.006366667,0.02105,0.0082
2015-12-28 14:27:00,7.4779,0.0,0.075366667,0.005366667,0.0003,0.045233333,0.010883333,4.6277,2.58635,0.00155,0.0063,0.11375,0.0082
2015-12-28 14:28:00,4.7281,0.0,0.075466667,0.005816667,0.0003,0.044666667,0.011433333,4.459466667,0.004933333,0.000733333,0.006316667,0.112233333,0.0082
2015-12-28 14:29:00,4.696033333,0.0,0.075383333,0.005416667,0.0003,0.044666667,0.011433333,4.43135,0.004983333,0.000733333,0.006316667,0.108716667,0.0082
2015-12-28 14:30:00,4.71475,0.0,0.0754,0.005733333,0.0003,0.044716667,0.011466667,4.450483333,0.00495,0.000733333,0.006333333,0.1079,0.0082
2015-12-28 14:31:00,4.7303,0.0,0.07555,0.005366667,0.0003,0.044616667,0.0128,4.465816667,0.00485,0.000733333,0.00635,0.107166667,0.008216667
2015-12-28 14:32:00,4.735116667,0.0,0.0756,0.0054,0.0003,0.04455,0.013266667,4.47105,0.0048,0.000766667,0.006333333,0.106383333,0.0082
2015-12-28 14:33:00,4.7326,0.0,0.0757,0.00535,0.0003,0.044616667,0.013266667,4.46885,0.004816667,0.000733333,0.00635,0.105866667,0.008216667
2015-12-28 14:34:00,6.572416667,0.0,0.075583333,0.00535,0.0003,0.044933333,1.86675,4.457033333,0.004183333,0.000933333,0.006333333,0.104666667,0.008216667
2015-12-28 14:35:00,7.5586,0.0,0.075583333,0.005483333,0.0003,0.045083333,2.866383333,4.445,0.0039,0.001033333,0.00635,0.10335,0.0082
2015-12-28 14:36:00,6.451333333,0.0,0.0754,0.0054,0.0003,0.044883333,1.75885,4.44595,0.004183333,0.0009,0.006333333,0.102733333,0.0082
2015-12-28 14:37:00,4.748583333,0.0,0.0755,0.005283333,0.0003,0.044733333,0.0117,4.4904,0.004816667,0.000766667,0.00635,0.10205,0.008216667
2015-12-28 14:38:00,4.766283333,0.0,0.075516667,0.00535,0.0003,0.044783333,0.011583333,4.5086,0.004816667,0.000733333,0.00635,0.101483333,0.008233333
2015-12-28 14:39:00,4.77485,0.0,0.0756,0.005383333,0.0003,0.044833333,0.011633333,4.517433333,0.004866667,0.000733333,0.00635,0.10095,0.008233333
2015-12-28 14:40:00,4.711083333,0.0,0.07555,0.005333333,0.0003,0.044766667,0.011466667,4.4542,0.004966667,0.0007,0.00635,0.100633333,0.008216667
